               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026695,            0.015451,           0.0030973,             0.75621,             0.70652,             0.77352,             0.47622,            0.028783,            0.017906,           0.0099526,             0.00307,             0.00307,             0.00307
                  37,            0.026049,            0.014476,           0.0033678,              0.7128,             0.76565,             0.76182,             0.46269,            0.028414,            0.017747,            0.010551,            0.002872,            0.002872,            0.002872
                  38,            0.026304,            0.015306,           0.0035411,             0.74935,             0.75862,             0.79522,             0.48828,            0.028426,            0.017427,           0.0090232,            0.002674,            0.002674,            0.002674
                  39,            0.026402,              0.0154,           0.0031006,              0.7455,             0.77096,             0.78651,             0.48169,             0.02857,            0.017723,           0.0099362,            0.002476,            0.002476,            0.002476
                  40,            0.026111,            0.015464,           0.0025694,             0.71681,             0.79126,             0.77889,             0.48216,            0.028455,            0.017679,            0.010383,            0.002278,            0.002278,            0.002278
                  41,            0.026099,             0.01525,           0.0023485,             0.75831,             0.75875,             0.78865,             0.48925,            0.028274,            0.017529,           0.0087693,             0.00208,             0.00208,             0.00208
                  42,            0.025499,            0.014563,           0.0032287,             0.72207,             0.79707,             0.77636,              0.4667,            0.029025,            0.017722,           0.0087288,            0.001882,            0.001882,            0.001882
                  43,            0.025433,            0.015413,           0.0026665,             0.74842,             0.76899,             0.77405,             0.47447,            0.028408,            0.017527,           0.0082443,            0.001684,            0.001684,            0.001684
                  44,            0.025278,            0.014901,           0.0021548,              0.7841,             0.74992,             0.77316,             0.47963,            0.028558,             0.01779,            0.008793,            0.001486,            0.001486,            0.001486
                  45,            0.025078,            0.015164,           0.0018056,             0.73587,             0.77109,             0.78025,             0.48219,            0.028506,            0.017775,           0.0094669,            0.001288,            0.001288,            0.001288
                  46,            0.025003,            0.014564,           0.0027694,             0.69466,             0.82166,             0.77475,             0.47505,            0.029098,            0.017788,            0.009496,             0.00109,             0.00109,             0.00109
                  47,            0.024611,            0.014916,           0.0020341,             0.72788,             0.77148,             0.76541,             0.47054,            0.028836,            0.017705,            0.010199,            0.000892,            0.000892,            0.000892
                  48,            0.024425,            0.014203,           0.0024001,             0.73997,              0.7573,             0.76635,             0.47784,            0.028425,            0.017862,            0.011045,            0.000694,            0.000694,            0.000694
                  49,            0.024418,            0.013797,           0.0016174,             0.73603,             0.76505,             0.77134,             0.47811,            0.028584,            0.017995,           0.0099613,            0.000496,            0.000496,            0.000496
