               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1029,            0.038823,            0.027307,            0.025089,            0.060924,           0.0095588,           0.0018728,            0.081591,             0.03986,            0.026289,             0.00144,             0.00144,             0.08704
                   1,            0.077639,               0.039,            0.024689,             0.14424,             0.15966,             0.12416,             0.03501,            0.064901,            0.036975,            0.023801,           0.0028328,           0.0028328,            0.073933
                   2,            0.064036,            0.034852,            0.022673,             0.67229,             0.20168,             0.18199,            0.048495,            0.058722,            0.030644,            0.022628,           0.0041681,           0.0041681,            0.060768
                   3,            0.064445,            0.029557,            0.022124,             0.13149,             0.59182,              0.1947,            0.044903,            0.068101,            0.022677,            0.022517,           0.0054461,           0.0054461,            0.047546
                   4,            0.062633,            0.026393,            0.021046,             0.19412,             0.46792,              0.2413,             0.11027,             0.05976,            0.024268,            0.020688,           0.0066666,           0.0066666,            0.034267
